Marker	Graph	Xaxis	sort
BnaC01g35890D	C01	37375570	5125
Bo1g126100.1	C01	37379744	5126
Bo1g126110.1	C01	37388299	5127
Bo1g126120.1	C01	37392270	5128
Bo1g126130.1	C01	37393777	5129
Bo1g126140.1	C01	37405703	5130
Bo1g126150.1	C01	37413474	5131
Bo1g126160.1	C01	37415678	5132
Bo1g126170.1	C01	37421446	5133
Bo1g126180.1	C01	37446895	5134
Bo1g126190.1	C01	37453637	5135
Bo1g126200.1	C01	37455671	5136
Bo1g126210.1	C01	37462961	5137
Bo1g126220.1	C01	37465359	5138
Bo1g126230.1	C01	37480736	5139
Bo1g126240.1	C01	37482042	5140
Bo1g126250.1	C01	37534028	5141
Bo1g126260.1	C01	37537574	5142
Bo1g126270.1	C01	37541275	5143
Bo1g126280.1	C01	37545629	5144
Bo1g126290.1	C01	37549366	5145
Bo1g126300.1	C01	37553600	5146
Bo1g126310.1	C01	37577499	5147
Bo1g127310.1	C01	37636802	5148
Bo1g127320.1	C01	37642862	5149
Bo1g127330.1	C01	37644401	5150
Bo1g127340.1	C01	37648439	5151
BnaC01g35280D	C01	37648811	5152
BnaC01g36000D	C01	37649121	5153
BnaC01g36010D	C01	37649121	5154
BnaC01g36020D	C01	37649121	5155
Bo1g127350.1	C01	37649942	5156
Bo1g128350.1	C01	37669482	5157
Bo1g128360.1	C01	37675790	5158
Bo1g128370.1	C01	37686845	5159
Bo1g128380.1	C01	37689550	5160
Bo1g128390.1	C01	37693833	5161
Bo1g128400.1	C01	37708768	5162
Bo1g128410.1	C01	37711492	5163
Bo1g128420.1	C01	37718716	5164
Bo1g128430.1	C01	37747960	5165
Bo1g128440.1	C01	37759790	5166
Bo1g128450.1	C01	37761973	5167
Bo1g128460.1	C01	37786744	5168
Bo1g128470.1	C01	37791287	5169
BnaC01g36070D	C01	37791526	5170
Bo1g128480.1	C01	37792963	5171
Bo1g128490.1	C01	37806436	5172
Bo1g128500.1	C01	37810992	5173
Bo1g128510.1	C01	37813634	5174
Bo1g128520.1	C01	37818602	5175
Bo1g128530.1	C01	37824051	5176
Bo1g128540.1	C01	37828903	5177
Bo1g128550.1	C01	37834305	5178
Bo1g128560.1	C01	37837036	5179
Bo1g128570.1	C01	37838750	5180
Bo1g128580.1	C01	37842733	5181
Bo1g128590.1	C01	37846605	5182
Bo1g128600.1	C01	37851969	5183
Bo1g128610.1	C01	37864996	5184
Bo1g128620.1	C01	37868226	5185
Bo1g128630.1	C01	37869962	5186
Bo1g128640.1	C01	37872131	5187
Bo1g128650.1	C01	37876732	5188
Bo1g128660.1	C01	37877699	5189
Bo1g128670.1	C01	37880178	5190
BnaC01g36270D	C01	37909511	5191
Bo1g129670.1	C01	37909511	5192
Bo1g129680.1	C01	37915892	5193
Bo1g129690.1	C01	37919680	5194
Bo1g129700.1	C01	37920591	5195
BnaC01g36310D	C01	37927009	5196
BnaC01g36320D	C01	37927009	5197
Bo1g129710.1	C01	37962035	5198
Bo1g129720.1	C01	37966727	5199
Bo1g129730.1	C01	37968659	5200
BnaC01g36360D	C01	37972689	5201
Bo1g129740.1	C01	37974018	5202
Bo1g129750.1	C01	37976171	5203
Bo1g129760.1	C01	37979072	5204
BnaC01g36380D	C01	37980580	5205
Bo1g129770.1	C01	37987006	5206
Bo1g129780.1	C01	37991034	5207
Bo1g129790.1	C01	38000925	5208
Bo1g129800.1	C01	38003665	5209
Bo1g129810.1	C01	38004989	5210
Bo1g129820.1	C01	38006656	5211
Bo1g129830.1	C01	38009232	5212
BnaC01g36450D	C01	38010308	5213
Bo1g129840.1	C01	38024786	5214
Bo1g129850.1	C01	38031029	5215
Bo1g129860.1	C01	38038720	5216
Bo1g129870.1	C01	38042229	5217
Bo1g129880.1	C01	38055750	5218
Bo1g129890.1	C01	38058800	5219
Bo1g129900.1	C01	38063534	5220
BnaC01g36530D	C01	38064724	5221
Bo1g129910.1	C01	38066058	5222
Bo1g129920.1	C01	38075447	5223
Bo1g129930.1	C01	38086682	5224
Bo1g129940.1	C01	38103637	5225
Bo1g129950.1	C01	38104868	5226
Bo1g129960.1	C01	38108472	5227
Bo1g129970.1	C01	38119903	5228
Bo1g129980.1	C01	38122590	5229
Bo1g129990.1	C01	38132899	5230
Bo1g130000.1	C01	38137885	5231
Bo1g130010.1	C01	38140786	5232
Bo1g130020.1	C01	38145521	5233
Bo1g130030.1	C01	38147477	5234
Bo1g130040.1	C01	38149816	5235
Bo1g130050.1	C01	38163180	5236
BnaC01g36680D	C01	38164387	5237
BnaC01g36690D	C01	38164387	5238
BnaC01g36700D	C01	38164387	5239
Bo1g131050.1	C01	38173830	5240
Bo1g131060.1	C01	38175477	5241
Bo1g131070.1	C01	38176553	5242
Bo1g131080.1	C01	38180285	5243
Bo1g131090.1	C01	38181507	5244
Bo1g131100.1	C01	38182619	5245
Bo1g131110.1	C01	38190574	5246
Bo1g131120.1	C01	38212795	5247
Bo1g131130.1	C01	38218260	5248
Bo1g131140.1	C01	38233800	5249
Bo1g131150.1	C01	38237501	5250
Bo1g131160.1	C01	38249157	5251
Bo1g131170.1	C01	38250509	5252
Bo1g131180.1	C01	38251315	5253
Bo1g131190.1	C01	38255990	5254
BnaC01g36770D	C01	38266520	5255
Bo1g131200.1	C01	38266520	5256
Bo1g131210.1	C01	38274509	5257
Bo1g131220.1	C01	38282689	5258
Bo1g131230.1	C01	38284293	5259
Bo1g131240.1	C01	38295419	5260
BnaC01g36830D	C01	38296888	5261
Bo1g131250.1	C01	38306603	5262
BnaC01g36850D	C01	38308393	5263
BnaC01g36860D	C01	38308393	5264
Bo1g131260.1	C01	38308393	5265
Bo1g131270.1	C01	38311450	5266
Bo1g131280.1	C01	38319545	5267
Bo1g131290.1	C01	38327826	5268
Bo1g131300.1	C01	38338446	5269
BnaC01g36900D	C01	38349864	5270
BnaC01g36910D	C01	38349864	5271
Bo1g132300.1	C01	38369817	5272
Bo1g132310.1	C01	38374803	5273
Bo1g133310.1	C01	38408340	5274
Bo1g133320.1	C01	38411122	5275
Bo1g133330.1	C01	38413863	5276
Bo1g133340.1	C01	38417997	5277
BnaC01g36970D	C01	38419079	5278
BnaC01g36980D	C01	38419079	5279
Bo1g134340.1	C01	38449173	5280
Bo1g134350.1	C01	38451162	5281
Bo1g134360.1	C01	38454498	5282
Bo1g134370.1	C01	38460012	5283
Bo1g134380.1	C01	38469131	5284
Bo1g134390.1	C01	38480829	5285
Bo1g134400.1	C01	38483401	5286
Bo1g134410.1	C01	38494775	5287
BnaC01g37030D	C01	38502681	5288
Bo1g134420.1	C01	38502681	5289
Bo1g134430.1	C01	38528185	5290
Bo1g134440.1	C01	38529687	5291
Bo1g134450.1	C01	38549349	5292
Bo1g134460.1	C01	38563789	5293
Bo1g134470.1	C01	38578052	5294
BnaC01g37080D	C01	38581331	5295
Bo1g134480.1	C01	38586869	5296
Bo1g134490.1	C01	38587893	5297
BnaC01g37110D	C01	38594288	5298
BnaC01g37120D	C01	38594288	5299
Bo1g134500.1	C01	38605140	5300
Bo1g134510.1	C01	38620678	5301
Bo1g134520.1	C01	38625249	5302
BnaC01g37140D	C01	38626859	5303
Bo1g134530.1	C01	38637225	5304
Bo1g134540.1	C01	38647212	5305
Bo1g134550.1	C01	38653345	5306
Bo1g134560.1	C01	38657893	5307
Bo1g134570.1	C01	38659979	5308
Bo1g134580.1	C01	38662206	5309
Bo1g134590.1	C01	38663711	5310
Bo1g134600.1	C01	38667767	5311
Bo1g134610.1	C01	38675731	5312
Bo1g134620.1	C01	38678525	5313
Bo1g134630.1	C01	38681778	5314
Bo1g134640.1	C01	38685401	5315
Bo1g134650.1	C01	38687981	5316
Bo1g134660.1	C01	38697880	5317
BnaC01g37280D	C01	38701996	5318
BnaC01g37290D	C01	38701996	5319
Bo1g134670.1	C01	38707313	5320
BnaC01g37320D	C01	38710246	5321
Bo1g134680.1	C01	38710360	5322
Bo1g134690.1	C01	38723685	5323
Bo1g134700.1	C01	38732240	5324
Bo1g134710.1	C01	38738027	5325
Bo1g134720.1	C01	38764751	5326
Bo1g134730.1	C01	38777839	5327
Bo1g134740.1	C01	38780960	5328
Bo1g134750.1	C01	38791511	5329
Bo1g134760.1	C01	38794667	5330
Bo1g134770.1	C01	38799110	5331
Bo1g134780.1	C01	38801604	5332
Bo1g134790.1	C01	38840734	5333
Bo1g134800.1	C01	38845182	5334
Bo1g134810.1	C01	38848546	5335
Bo1g134820.1	C01	38854475	5336
Bo1g134830.1	C01	38860672	5337
Bo1g134840.1	C01	38862336	5338
Bo1g134850.1	C01	38868543	5339
Bo1g134860.1	C01	38877036	5340
Bo1g134870.1	C01	38879109	5341
Bo1g134880.1	C01	38879367	5342
Bo1g134890.1	C01	38890023	5343
Bo1g134900.1	C01	38893416	5344
Bo1g134910.1	C01	38895133	5345
Bo1g134920.1	C01	38895874	5346
BnaC01g37440D	C01	38898266	5347
Bo1g134930.1	C01	38943528	5348
Bo1g134940.1	C01	38948243	5349
Bo1g134950.1	C01	38979402	5350
BnaC01g37480D	C01	38982210	5351
Bo1g134960.1	C01	38989633	5352
BnaC01g37510D	C01	38991503	5353
Bo1g134970.1	C01	38991568	5354
Bo1g134980.1	C01	39004477	5355
Bo1g134990.1	C01	39012305	5356
Bo1g135000.1	C01	39014876	5357
Bo1g135010.1	C01	39016199	5358
Bo1g135020.1	C01	39018769	5359
Bo1g135030.1	C01	39033016	5360
Bo1g135040.1	C01	39038346	5361
Bo1g135050.1	C01	39047284	5362
Bo1g136050.1	C01	39058887	5363
Bo1g136060.1	C01	39060415	5364
Bo1g136070.1	C01	39063120	5365
Bo1g136080.1	C01	39076956	5366
Bo1g136090.1	C01	39077973	5367
Bo1g136100.1	C01	39083009	5368
Bo1g136110.1	C01	39085397	5369
Bo1g136120.1	C01	39095768	5370
Bo1g136130.1	C01	39107011	5371
Bo1g136140.1	C01	39115707	5372
Bo1g136150.1	C01	39127250	5373
Bo1g136160.1	C01	39146888	5374
Bo1g136170.1	C01	39151607	5375
Bo1g136180.1	C01	39171539	5376
Bo1g136190.1	C01	39172580	5377
Bo1g137190.1	C01	39180914	5378
Bo1g138190.1	C01	39188488	5379
Bo1g138200.1	C01	39199789	5380
Bo1g138210.1	C01	39203834	5381
Bo1g138220.1	C01	39204924	5382
Bo1g138230.1	C01	39212930	5383
Bo1g138240.1	C01	39215790	5384
Bo1g138250.1	C01	39223548	5385
Bo1g138260.1	C01	39226315	5386
Bo1g138270.1	C01	39233331	5387
BnaC01g37600D	C01	39239052	5388
Bo1g138280.1	C01	39243544	5389
Bo1g138290.1	C01	39247079	5390
BnaC01g37630D	C01	39254819	5391
Bo1g138300.1	C01	39256072	5392
BnaC01g37650D	C01	39257263	5393
Bo1g138310.1	C01	39261624	5394
Bo1g138320.1	C01	39268480	5395
Bo1g138330.1	C01	39272898	5396
BnaC01g37660D	C01	39282185	5397
BnaC01g37670D	C01	39282185	5398
Bo1g138340.1	C01	39282977	5399
Bo1g138350.1	C01	39312381	5400
Bo1g138360.1	C01	39325882	5401
Bo1g138370.1	C01	39335480	5402
Bo1g138380.1	C01	39338130	5403
Bo1g138390.1	C01	39340874	5404
Bo1g138400.1	C01	39341416	5405
BnaC01g37720D	C01	39344567	5406
BnaC01g37730D	C01	39344567	5407
Bo1g138410.1	C01	39346359	5408
Bo1g138420.1	C01	39361091	5409
Bo1g138430.1	C01	39362894	5410
Bo1g138440.1	C01	39372863	5411
BnaC01g37770D	C01	39374351	5412
Bo1g138450.1	C01	39376548	5413
Bo1g138460.1	C01	39388676	5414
Bo1g138470.1	C01	39388929	5415
Bo1g138480.1	C01	39390573	5416
Bo1g138490.1	C01	39394043	5417
Bo1g138500.1	C01	39406858	5418
Bo1g138510.1	C01	39408938	5419
Bo1g138520.1	C01	39412371	5420
Bo1g138530.1	C01	39415804	5421
Bo1g138540.1	C01	39418403	5422
Bo1g138550.1	C01	39423934	5423
Bo1g138560.1	C01	39432678	5424
Bo1g138570.1	C01	39435844	5425
BnaC01g37890D	C01	39437772	5426
Bo1g138580.1	C01	39438259	5427
Bo1g138590.1	C01	39440553	5428
BnaC01g37920D	C01	39444137	5429
Bo1g138600.1	C01	39444932	5430
Bo1g138610.1	C01	39446285	5431
Bo1g138620.1	C01	39452536	5432
BnaC01g38020D	C01	39461503	5433
Bo1g138630.1	C01	39461744	5434
Bo1g138640.1	C01	39464691	5435
Bo1g138650.1	C01	39473474	5436
Bo1g138660.1	C01	39476062	5437
Bo1g138670.1	C01	39478014	5438
Bo1g138680.1	C01	39481138	5439
Bo1g138690.1	C01	39483532	5440
BnaC01g38090D	C01	39484776	5441
Bo1g138700.1	C01	39489061	5442
Bo1g138710.1	C01	39492025	5443
BnaC01g38110D	C01	39496370	5444
Bo1g138720.1	C01	39498186	5445
Bo1g138730.1	C01	39516834	5446
Bo1g138740.1	C01	39520423	5447
Bo1g138750.1	C01	39521077	5448
Bo1g138760.1	C01	39538739	5449
Bo1g138770.1	C01	39542179	5450
Bo1g138780.1	C01	39554352	5451
Bo1g138790.1	C01	39559752	5452
Bo1g138800.1	C01	39564849	5453
Bo1g138810.1	C01	39574738	5454
Bo1g138820.1	C01	39580346	5455
Bo1g138830.1	C01	39583407	5456
Bo1g138840.1	C01	39592734	5457
Bo1g138850.1	C01	39607441	5458
Bo1g138860.1	C01	39610265	5459
Bo1g138870.1	C01	39610645	5460
Bo1g138880.1	C01	39613932	5461
Bo1g138890.1	C01	39619854	5462
Bo1g138900.1	C01	39623011	5463
Bo1g138910.1	C01	39641494	5464
Bo1g138920.1	C01	39649998	5465
Bo1g138930.1	C01	39674245	5466
Bo1g138940.1	C01	39678817	5467
BnaC01g38240D	C01	39680629	5468
Bo1g138950.1	C01	39681037	5469
Bo1g138960.1	C01	39684500	5470
Bo1g138970.1	C01	39687201	5471
Bo1g138980.1	C01	39691398	5472
Bo1g138990.1	C01	39697307	5473
Bo1g139000.1	C01	39709841	5474
Bo1g139010.1	C01	39712264	5475
Bo1g139020.1	C01	39714822	5476
Bo1g139030.1	C01	39727101	5477
Bo1g139040.1	C01	39731958	5478
Bo1g139050.1	C01	39734667	5479
Bo1g139060.1	C01	39744010	5480
Bo1g139070.1	C01	39745602	5481
Bo1g139080.1	C01	39753830	5482
Bo1g139090.1	C01	39756128	5483
Bo1g139100.1	C01	39765060	5484
Bo1g139110.1	C01	39766794	5485
Bo1g139120.1	C01	39775833	5486
Bo1g139130.1	C01	39785316	5487
Bo1g139140.1	C01	39788528	5488
Bo1g139150.1	C01	39793877	5489
Bo1g139160.1	C01	39797458	5490
Bo1g139170.1	C01	39802905	5491
Bo1g139180.1	C01	39804729	5492
BnaC01g38440D	C01	39808021	5493
Bo1g139190.1	C01	39808021	5494
BnaC01g38400D	C01	39818123	5495
BnaC01g38410D	C01	39818123	5496
BnaC01g38420D	C01	39818123	5497
Bo1g139200.1	C01	39818123	5498
Bo1g139210.1	C01	39820620	5499
Bo1g139220.1	C01	39823087	5500
Bo1g139230.1	C01	39826256	5501
Bo1g139240.1	C01	39833213	5502
Bo1g139250.1	C01	39835896	5503
Bo1g139260.1	C01	39837669	5504
Bo1g139270.1	C01	39839027	5505
Bo1g139280.1	C01	39842116	5506
Bo1g139290.1	C01	39848201	5507
Bo1g139300.1	C01	39852547	5508
Bo1g139310.1	C01	39856581	5509
Bo1g139320.1	C01	39858059	5510
Bo1g139330.1	C01	39859685	5511
Bo1g139340.1	C01	39860520	5512
Bo1g139350.1	C01	39872787	5513
Bo1g139360.1	C01	39875170	5514
Bo1g139370.1	C01	39886573	5515
Bo1g139380.1	C01	39888631	5516
Bo1g139390.1	C01	39891722	5517
Bo1g139400.1	C01	39896613	5518
Bo1g139410.1	C01	39899017	5519
Bo1g139420.1	C01	39902025	5520
Bo1g139430.1	C01	39904139	5521
Bo1g139440.1	C01	39905966	5522
Bo1g139450.1	C01	39906625	5523
Bo1g139460.1	C01	39908677	5524
Bo1g139470.1	C01	39915545	5525
Bo1g139480.1	C01	39919029	5526
Bo1g139490.1	C01	39925214	5527
Bo1g139500.1	C01	39926453	5528
Bo1g139510.1	C01	39939472	5529
Bo1g139520.1	C01	39943383	5530
Bo1g139530.1	C01	39944883	5531
Bo1g139540.1	C01	39947154	5532
Bo1g139550.1	C01	39955471	5533
Bo1g139560.1	C01	39968574	5534
Bo1g139570.1	C01	39974245	5535
Bo1g139580.1	C01	39981066	5536
Bo1g139590.1	C01	39985254	5537
Bo1g139600.1	C01	39987884	5538
Bo1g139610.1	C01	39990593	5539
Bo1g139620.1	C01	39993264	5540
Bo1g139630.1	C01	39993742	5541
Bo1g139640.1	C01	39998833	5542
Bo1g139650.1	C01	40000358	5543
Bo1g139660.1	C01	40008243	5544
Bo1g139670.1	C01	40015497	5545
Bo1g139680.1	C01	40018005	5546
Bo1g139690.1	C01	40022665	5547
Bo1g139700.1	C01	40035497	5548
Bo1g139710.1	C01	40039226	5549
Bo1g139720.1	C01	40053240	5550
Bo1g139730.1	C01	40056755	5551
Bo1g139740.1	C01	40060839	5552
Bo1g139750.1	C01	40066541	5553
Bo1g139760.1	C01	40071394	5554
Bo1g139770.1	C01	40080804	5555
Bo1g139780.1	C01	40085328	5556
Bo1g139790.1	C01	40087217	5557
Bo1g139800.1	C01	40124585	5558
Bo1g139810.1	C01	40126379	5559
Bo1g139820.1	C01	40127572	5560
Bo1g139830.1	C01	40141756	5561
Bo1g139840.1	C01	40145279	5562
Bo1g139850.1	C01	40147776	5563
Bo1g139860.1	C01	40155923	5564
Bo1g139870.1	C01	40164814	5565
BnaC01g28820D	C01	40181630	5566
Bo1g139880.1	C01	40188535	5567
Bo1g139890.1	C01	40195665	5568
Bo1g139900.1	C01	40199365	5569
Bo1g139910.1	C01	40200951	5570
Bo1g139920.1	C01	40202521	5571
Bo1g139930.1	C01	40209508	5572
Bo1g139940.1	C01	40213856	5573
Bo1g140940.1	C01	40237344	5574
Bo1g140950.1	C01	40238645	5575
Bo1g140960.1	C01	40240651	5576
Bo1g140970.1	C01	40242900	5577
Bo1g140980.1	C01	40244507	5578
Bo1g140990.1	C01	40257134	5579
Bo1g141000.1	C01	40258683	5580
Bo1g141010.1	C01	40260917	5581
Bo1g141020.1	C01	40262685	5582
Bo1g141030.1	C01	40265334	5583
Bo1g141040.1	C01	40268535	5584
Bo1g141050.1	C01	40278407	5585
Bo1g141060.1	C01	40282233	5586
Bo1g141070.1	C01	40311364	5587
Bo1g141080.1	C01	40322463	5588
Bo1g141090.1	C01	40325810	5589
Bo1g141100.1	C01	40333548	5590
Bo1g141110.1	C01	40337715	5591
Bo1g141120.1	C01	40341575	5592
Bo1g141130.1	C01	40344849	5593
Bo1g141140.1	C01	40349516	5594
Bo1g141150.1	C01	40352967	5595
Bo1g141160.1	C01	40359948	5596
Bo1g141170.1	C01	40363894	5597
Bo1g141180.1	C01	40373464	5598
Bo1g141190.1	C01	40375643	5599
Bo1g141200.1	C01	40381301	5600
Bo1g141210.1	C01	40384633	5601
Bo1g141220.1	C01	40395369	5602
Bo1g141230.1	C01	40397513	5603
Bo1g141240.1	C01	40410882	5604
Bo1g141250.1	C01	40416809	5605
Bo1g141260.1	C01	40417249	5606
Bo1g141270.1	C01	40435230	5607
Bo1g141280.1	C01	40449878	5608
Bo1g141290.1	C01	40453724	5609
Bo1g141300.1	C01	40462145	5610
Bo1g141310.1	C01	40465932	5611
Bo1g141320.1	C01	40474900	5612
Bo1g141330.1	C01	40494263	5613
Bo1g141340.1	C01	40512294	5614
Bo1g141350.1	C01	40519322	5615
Bo1g141360.1	C01	40520256	5616
Bo1g141370.1	C01	40522087	5617
Bo1g141380.1	C01	40527868	5618
Bo1g141390.1	C01	40530329	5619
Bo1g141400.1	C01	40532421	5620
Bo1g141410.1	C01	40541711	5621
Bo1g141420.1	C01	40543629	5622
Bo1g141430.1	C01	40545211	5623
Bo1g141440.1	C01	40552520	5624
Bo1g141450.1	C01	40554415	5625
Bo1g141460.1	C01	40558870	5626
Bo1g141470.1	C01	40563550	5627
Bo1g141480.1	C01	40566597	5628
Bo1g141490.1	C01	40568765	5629
Bo1g141500.1	C01	40569811	5630
Bo1g141510.1	C01	40576053	5631
Bo1g141520.1	C01	40580954	5632
Bo1g141530.1	C01	40588095	5633
Bo1g141540.1	C01	40590792	5634
Bo1g141550.1	C01	40595369	5635
Bo1g141560.1	C01	40598152	5636
Bo1g141570.1	C01	40616150	5637
Bo1g141580.1	C01	40624606	5638
Bo1g142580.1	C01	40629459	5639
Bo1g142590.1	C01	40636640	5640
Bo1g142600.1	C01	40643550	5641
Bo1g142610.1	C01	40645049	5642
Bo1g142620.1	C01	40648813	5643
Bo1g143620.1	C01	40661181	5644
Bo1g143630.1	C01	40694158	5645
Bo1g143640.1	C01	40696838	5646
Bo1g143650.1	C01	40703148	5647
Bo1g143660.1	C01	40705644	5648
Bo1g143670.1	C01	40710061	5649
Bo1g143680.1	C01	40713312	5650
Bo1g143690.1	C01	40717768	5651
Bo1g143700.1	C01	40721813	5652
Bo1g143710.1	C01	40727667	5653
Bo1g143720.1	C01	40728261	5654
Bo1g143730.1	C01	40730248	5655
Bo1g143740.1	C01	40736784	5656
Bo1g143750.1	C01	40739713	5657
Bo1g143760.1	C01	40749718	5658
Bo1g143770.1	C01	40761506	5659
Bo1g143780.1	C01	40767550	5660
Bo1g143790.1	C01	40775929	5661
Bo1g143800.1	C01	40791493	5662
Bo1g143810.1	C01	40793908	5663
Bo1g143820.1	C01	40796807	5664
Bo1g143830.1	C01	40810421	5665
Bo1g143840.1	C01	40813781	5666
Bo1g143850.1	C01	40817826	5667
Bo1g143860.1	C01	40822856	5668
Bo1g143870.1	C01	40827718	5669
Bo1g143880.1	C01	40831432	5670
Bo1g143890.1	C01	40836515	5671
Bo1g143900.1	C01	40839577	5672
Bo1g143910.1	C01	40841278	5673
Bo1g143920.1	C01	40843436	5674
Bo1g143930.1	C01	40845103	5675
Bo1g143940.1	C01	40846712	5676
Bo1g143950.1	C01	40848220	5677
Bo1g143960.1	C01	40852132	5678
Bo1g143970.1	C01	40860805	5679
Bo1g143980.1	C01	40868506	5680
Bo1g143990.1	C01	40870358	5681
Bo1g144000.1	C01	40878668	5682
Bo1g144010.1	C01	40881040	5683
Bo1g144020.1	C01	40883487	5684
BnaC01g38720D	C01	40886062	5685
Bo1g144030.1	C01	40886825	5686
Bo1g144040.1	C01	40899950	5687
Bo1g144050.1	C01	40904398	5688
Bo1g144060.1	C01	40906441	5689
Bo1g144070.1	C01	40909604	5690
Bo1g144080.1	C01	40914627	5691
Bo1g144090.1	C01	40915944	5692
Bo1g144100.1	C01	40917907	5693
Bo1g144110.1	C01	40922895	5694
Bo1g144120.1	C01	40927498	5695
Bo1g144130.1	C01	40929919	5696
BnaC01g38810D	C01	40934521	5697
Bo1g144140.1	C01	40938272	5698
Bo1g144150.1	C01	40946818	5699
Bo1g144160.1	C01	40952431	5700
Bo1g144170.1	C01	40965593	5701
Bo1g144180.1	C01	40967175	5702
Bo1g144190.1	C01	40969932	5703
Bo1g144200.1	C01	40971168	5704
Bo1g144210.1	C01	40974630	5705
BnaC01g38890D	C01	40978898	5706
BnaC01g38910D	C01	40981590	5707
Bo1g144220.1	C01	40981650	5708
Bo1g144230.1	C01	40991011	5709
Bo1g144240.1	C01	41006608	5710
Bo1g144250.1	C01	41010516	5711
Bo1g144260.1	C01	41018398	5712
Bo1g144270.1	C01	41021133	5713
Bo1g144280.1	C01	41025506	5714
Bo1g144290.1	C01	41027551	5715
Bo1g144300.1	C01	41033040	5716
Bo1g144310.1	C01	41034425	5717
Bo1g144320.1	C01	41036758	5718
Bo1g144330.1	C01	41037749	5719
Bo1g144340.1	C01	41041889	5720
Bo1g144350.1	C01	41044420	5721
BnaC01g39040D	C01	41053754	5722
Bo1g144360.1	C01	41055182	5723
Bo1g144370.1	C01	41060826	5724
Bo1g144380.1	C01	41063889	5725
Bo1g144390.1	C01	41065246	5726
Bo1g144400.1	C01	41067445	5727
BnaC01g39100D	C01	41069299	5728
Bo1g144410.1	C01	41071295	5729
Bo1g144420.1	C01	41084650	5730
Bo1g144430.1	C01	41093492	5731
Bo1g144440.1	C01	41097909	5732
Bo1g144450.1	C01	41107274	5733
Bo1g144460.1	C01	41111404	5734
Bo1g144470.1	C01	41118595	5735
Bo1g144480.1	C01	41121608	5736
Bo1g144490.1	C01	41125141	5737
Bo1g144500.1	C01	41127893	5738
Bo1g144510.1	C01	41128833	5739
Bo1g144520.1	C01	41132262	5740
Bo1g144530.1	C01	41137369	5741
Bo1g144540.1	C01	41144169	5742
Bo1g144550.1	C01	41152279	5743
Bo1g144560.1	C01	41157827	5744
Bo1g144570.1	C01	41159101	5745
Bo1g144580.1	C01	41160739	5746
Bo1g144590.1	C01	41164904	5747
Bo1g144600.1	C01	41168200	5748
Bo1g144610.1	C01	41198943	5749
BnaC01g39160D	C01	41199086	5750
Bo1g144620.1	C01	41212594	5751
Bo1g144630.1	C01	41219073	5752
Bo1g144640.1	C01	41220991	5753
Bo1g144650.1	C01	41231183	5754
Bo1g144660.1	C01	41236615	5755
Bo1g144670.1	C01	41246260	5756
Bo1g144680.1	C01	41249332	5757
Bo1g144690.1	C01	41252208	5758
Bo1g144700.1	C01	41253884	5759
Bo1g144710.1	C01	41261284	5760
Bo1g144720.1	C01	41265791	5761
Bo1g144730.1	C01	41266476	5762
Bo1g144740.1	C01	41288603	5763
Bo1g144750.1	C01	41290914	5764
Bo1g144760.1	C01	41294355	5765
Bo1g144770.1	C01	41300288	5766
Bo1g144780.1	C01	41304390	5767
Bo1g144790.1	C01	41308422	5768
Bo1g144800.1	C01	41310125	5769
Bo1g144810.1	C01	41313160	5770
Bo1g144820.1	C01	41314355	5771
Bo1g144830.1	C01	41318559	5772
Bo1g144840.1	C01	41321024	5773
Bo1g144850.1	C01	41327001	5774
Bo1g144860.1	C01	41330673	5775
Bo1g144870.1	C01	41333880	5776
BnaC01g39310D	C01	41341644	5777
Bo1g144880.1	C01	41343658	5778
Bo1g144890.1	C01	41348870	5779
Bo1g144900.1	C01	41359117	5780
Bo1g144910.1	C01	41362456	5781
Bo1g144920.1	C01	41365501	5782
Bo1g144930.1	C01	41389431	5783
BnaC01g39380D	C01	41390783	5784
Bo1g144940.1	C01	41391621	5785
Bo1g144950.1	C01	41400734	5786
Bo1g144960.1	C01	41401949	5787
Bo1g144970.1	C01	41403908	5788
BnaC01g39400D	C01	41414299	5789
Bo1g144980.1	C01	41414299	5790
Bo1g144990.1	C01	41420376	5791
BnaC01g39420D	C01	41421488	5792
BnaC01g39430D	C01	41421488	5793
BnaC01g39440D	C01	41421488	5794
Bo1g145000.1	C01	41422378	5795
Bo1g145010.1	C01	41423832	5796
Bo1g145020.1	C01	41428167	5797
Bo1g145030.1	C01	41428794	5798
Bo1g145040.1	C01	41432594	5799
Bo1g145050.1	C01	41445444	5800
Bo1g145060.1	C01	41453551	5801
Bo1g145070.1	C01	41459081	5802
Bo1g145080.1	C01	41467594	5803
Bo1g145090.1	C01	41470186	5804
BnaC01g39410D	C01	41473650	5805
Bo1g145100.1	C01	41480126	5806
Bo1g145110.1	C01	41500706	5807
Bo1g145120.1	C01	41503832	5808
BnaC01g39570D	C01	41508536	5809
Bo1g146120.1	C01	41519427	5810
Bo1g146130.1	C01	41523018	5811
Bo1g146140.1	C01	41525002	5812
BnaC01g39590D	C01	41526428	5813
Bo1g146150.1	C01	41533262	5814
BnaC01g39640D	C01	41534043	5815
Bo1g147150.1	C01	41548051	5816
Bo1g147160.1	C01	41551711	5817
Bo1g147170.1	C01	41553550	5818
Bo1g147180.1	C01	41561754	5819
Bo1g147190.1	C01	41565038	5820
Bo1g147200.1	C01	41570761	5821
Bo1g147210.1	C01	41576252	5822
BnaC01g39720D	C01	41580229	5823
